country,date,category,metric,value,unit,source,ingested_at
PL,2026-09-04,macro,fx_eur_pln,4.3148,eur_local,ecb_frankfurter,2026-09-06T08:42:02Z
PL,2026-09-04,macro,fx_eur_yoy,1.5,pct,ecb_frankfurter,2026-09-06T08:42:02Z
CZ,2026-09-04,macro,fx_eur_czk,24.189,eur_local,ecb_frankfurter,2026-09-06T08:42:02Z
CZ,2026-09-04,macro,fx_eur_yoy,-1.0,pct,ecb_frankfurter,2026-09-06T08:42:02Z
HU,2026-09-04,macro,fx_eur_huf,363.28,eur_local,ecb_frankfurter,2026-09-06T08:42:02Z
HU,2026-09-04,macro,fx_eur_yoy,-7.5,pct,ecb_frankfurter,2026-09-06T08:42:02Z
RO,2026-09-04,macro,fx_eur_ron,5.253,eur_local,ecb_frankfurter,2026-09-06T08:42:02Z
RO,2026-09-04,macro,fx_eur_yoy,3.4,pct,ecb_frankfurter,2026-09-06T08:42:02Z
BA,2026-09-04,macro,fx_eur_bam,1.95583,eur_local,central_bank_peg,2026-09-06T08:42:02Z
BA,2026-09-04,macro,fx_eur_yoy,0.0,pct,central_bank_peg,2026-09-06T08:42:02Z
SK,2026-09-04,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-09-06T08:42:02Z
BG,2026-09-04,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-09-06T08:42:02Z
HR,2026-09-04,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-09-06T08:42:02Z
SI,2026-09-04,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-09-06T08:42:02Z
GR,2026-09-04,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-09-06T08:42:02Z
LT,2026-09-04,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-09-06T08:42:02Z
LV,2026-09-04,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-09-06T08:42:02Z
EE,2026-09-04,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-09-06T08:42:02Z
