country,date,category,metric,value,unit,source,ingested_at
PL,2026-09-06,weather,temp_mean_fc7,16.8,celsius,open_meteo,2026-09-06T08:42:02Z
PL,2026-09-06,weather,temp_min_fc7,10.8,celsius,open_meteo,2026-09-06T08:42:02Z
PL,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:02Z
PL,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:02Z
PL,2026-09-06,weather,precip_fc7,11.7,mm,open_meteo,2026-09-06T08:42:02Z
PL,2026-09-06,weather,temp_anomaly_yoy,-1.6,celsius,open_meteo,2026-09-06T08:42:03Z
CZ,2026-09-06,weather,temp_mean_fc7,17.3,celsius,open_meteo,2026-09-06T08:42:03Z
CZ,2026-09-06,weather,temp_min_fc7,7.5,celsius,open_meteo,2026-09-06T08:42:03Z
CZ,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:03Z
CZ,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:03Z
CZ,2026-09-06,weather,precip_fc7,21.6,mm,open_meteo,2026-09-06T08:42:03Z
CZ,2026-09-06,weather,temp_anomaly_yoy,1.1,celsius,open_meteo,2026-09-06T08:42:03Z
SK,2026-09-06,weather,temp_mean_fc7,19.2,celsius,open_meteo,2026-09-06T08:42:03Z
SK,2026-09-06,weather,temp_min_fc7,13.0,celsius,open_meteo,2026-09-06T08:42:03Z
SK,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:03Z
SK,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:03Z
SK,2026-09-06,weather,precip_fc7,23.1,mm,open_meteo,2026-09-06T08:42:03Z
SK,2026-09-06,weather,temp_anomaly_yoy,0.8,celsius,open_meteo,2026-09-06T08:42:04Z
HU,2026-09-06,weather,temp_mean_fc7,21.7,celsius,open_meteo,2026-09-06T08:42:04Z
HU,2026-09-06,weather,temp_min_fc7,13.4,celsius,open_meteo,2026-09-06T08:42:04Z
HU,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:04Z
HU,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:04Z
HU,2026-09-06,weather,precip_fc7,7.8,mm,open_meteo,2026-09-06T08:42:04Z
HU,2026-09-06,weather,temp_anomaly_yoy,0.8,celsius,open_meteo,2026-09-06T08:42:04Z
RO,2026-09-06,weather,temp_mean_fc7,22.0,celsius,open_meteo,2026-09-06T08:42:04Z
RO,2026-09-06,weather,temp_min_fc7,12.2,celsius,open_meteo,2026-09-06T08:42:04Z
RO,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:04Z
RO,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:04Z
RO,2026-09-06,weather,precip_fc7,0.4,mm,open_meteo,2026-09-06T08:42:04Z
RO,2026-09-06,weather,temp_anomaly_yoy,-1.4,celsius,open_meteo,2026-09-06T08:42:05Z
BG,2026-09-06,weather,temp_mean_fc7,22.1,celsius,open_meteo,2026-09-06T08:42:05Z
BG,2026-09-06,weather,temp_min_fc7,13.6,celsius,open_meteo,2026-09-06T08:42:05Z
BG,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:05Z
BG,2026-09-06,weather,snow_days_fc7,0,days,open_meteo,2026-09-06T08:42:05Z
BG,2026-09-06,weather,precip_fc7,13.1,mm,open_meteo,2026-09-06T08:42:05Z
BG,2026-09-06,weather,temp_anomaly_yoy,0.5,celsius,open_meteo,2026-09-06T08:42:05Z
HR,2026-09-06,weather,temp_mean_fc7,21.4,celsius,open_meteo,2026-09-06T08:42:05Z
HR,2026-09-06,weather,temp_min_fc7,13.8,celsius,open_meteo,2026-09-06T08:42:05Z
HR,2026-09-06,weather,snowfall_fc7,0,cm,open_meteo,2026-09-06T08:42:05Z
